views,date
294.577437,2016-04-19T00:00:00Z
293.295773,2016-04-20T00:00:00Z
304.883241,2016-04-21T00:00:00Z
292.187203,2016-04-22T00:00:00Z
274.347732,2016-04-23T00:00:00Z
293.429524,2016-04-24T00:00:00Z
305.126383,2016-04-25T00:00:00Z
292.830009,2016-04-26T00:00:00Z
293.148892,2016-04-27T00:00:00Z
291.544151,2016-04-28T00:00:00Z
278.73347,2016-04-29T00:00:00Z
264.208051,2016-04-30T00:00:00Z
277.225161,2016-05-01T00:00:00Z
298.173849,2016-05-02T00:00:00Z
296.286403,2016-05-03T00:00:00Z
293.119439,2016-05-04T00:00:00Z
285.947932,2016-05-05T00:00:00Z
284.471514,2016-05-06T00:00:00Z
272.564834,2016-05-07T00:00:00Z
286.315126,2016-05-08T00:00:00Z
300.055738,2016-05-09T00:00:00Z
303.983209,2016-05-10T00:00:00Z
297.359556,2016-05-11T00:00:00Z
284.445901,2016-05-12T00:00:00Z
275.228338,2016-05-13T00:00:00Z
262.282628,2016-05-14T00:00:00Z
283.663874,2016-05-15T00:00:00Z
298.081584,2016-05-16T00:00:00Z
293.516517,2016-05-17T00:00:00Z
294.611751,2016-05-18T00:00:00Z
287.091725,2016-05-19T00:00:00Z
271.528013,2016-05-20T00:00:00Z
273.177179,2016-05-21T00:00:00Z
285.141119,2016-05-22T00:00:00Z
299.693369,2016-05-23T00:00:00Z
286.769362,2016-05-24T00:00:00Z
279.235051,2016-05-25T00:00:00Z
278.106707,2016-05-26T00:00:00Z
263.288391,2016-05-27T00:00:00Z
255.74468,2016-05-28T00:00:00Z
267.013358,2016-05-29T00:00:00Z
285.710639,2016-05-30T00:00:00Z
296.512746,2016-05-31T00:00:00Z
294.960291,2016-06-01T00:00:00Z
280.555037,2016-06-02T00:00:00Z
277.885657,2016-06-03T00:00:00Z
277.640046,2016-06-04T00:00:00Z
288.203108,2016-06-05T00:00:00Z
291.435633,2016-06-06T00:00:00Z
285.370772,2016-06-07T00:00:00Z
279.460994,2016-06-08T00:00:00Z
278.066605,2016-06-09T00:00:00Z
271.873949,2016-06-10T00:00:00Z
268.153389,2016-06-11T00:00:00Z
292.320982,2016-06-12T00:00:00Z
300.554451,2016-06-13T00:00:00Z
295.49847,2016-06-14T00:00:00Z
291.110078,2016-06-15T00:00:00Z
279.319712,2016-06-16T00:00:00Z
265.692508,2016-06-17T00:00:00Z
262.121521,2016-06-18T00:00:00Z
274.139953,2016-06-19T00:00:00Z
294.885696,2016-06-20T00:00:00Z
286.765176,2016-06-21T00:00:00Z
280.922053,2016-06-22T00:00:00Z
283.084054,2016-06-23T00:00:00Z
273.171252,2016-06-24T00:00:00Z
269.655254,2016-06-25T00:00:00Z
274.074308,2016-06-26T00:00:00Z
287.383271,2016-06-27T00:00:00Z
293.224462,2016-06-28T00:00:00Z
287.318574,2016-06-29T00:00:00Z
284.919539,2016-06-30T00:00:00Z
278.539304,2016-07-01T00:00:00Z
263.780261,2016-07-02T00:00:00Z
269.670292,2016-07-03T00:00:00Z
287.008036,2016-07-04T00:00:00Z
288.716991,2016-07-05T00:00:00Z
294.31711,2016-07-06T00:00:00Z
277.77996,2016-07-07T00:00:00Z
259.449522,2016-07-08T00:00:00Z
264.74222,2016-07-09T00:00:00Z
284.542217,2016-07-10T00:00:00Z
